timestamp,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,total_bytes_per_sec,errors,drops,hour,day_of_week,minute,hour_sin,hour_cos,day_sin,day_cos,total_bytes_per_sec_ma10,total_bytes_per_sec_std10,total_bytes_per_sec_diff,z_score,is_anomaly
2026-01-04 10:26:33.790495,701889.5748744957,698513.5456387046,467.92638324966384,465.6756970924697,1400403.1205132003,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1400403.1205132003,0.0,0.0,-0.2132898896906918,False
2026-01-04 10:26:34.790495,533305.045682621,955497.1942504976,355.5366971217473,636.9981295003316,1488802.2399331185,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1444602.6802231595,62507.61679274347,88399.11941991816,-0.13931718815054073,False
2026-01-04 10:26:35.790495,515214.34541797376,757670.3477642402,343.47623027864915,505.11356517616014,1272884.693182214,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1387363.3512095108,108547.79332788095,-215917.54675090453,-0.3199977689967731,False
2026-01-04 10:26:36.790495,1003010.0843739592,833785.4474878127,668.6733895826394,555.8569649918752,1836795.531861772,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1499721.3963725762,241562.42162712978,563910.8386795581,0.1518848519911934,False
2026-01-04 10:26:37.790495,453911.0296666728,872142.1888662836,302.60735311111523,581.4281259108558,1326053.2185329564,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1464987.7608046522,223151.13680104606,-510742.3133288156,-0.2755061554726882,False
2026-01-04 10:26:38.790495,581837.8584014734,1194045.4707810532,387.8919056009822,796.0303138540355,1775883.3291825266,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1516803.6888676314,236530.09595112046,449830.1106495701,0.10091330138624746,False
2026-01-04 10:26:39.790495,538735.9511993362,991821.0799934332,359.15730079955745,661.2140533289554,1530557.0311927693,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1518768.4520569367,215984.01322691044,-245326.29798975727,-0.10437662842562667,False
2026-01-04 10:26:40.790495,928144.024522708,879274.5052505219,618.7626830151387,586.1830035003479,1807418.52977323,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1554849.7117714733,224498.98910447958,276861.49858046067,0.1273020708288906,False
2026-01-04 10:26:41.790495,2230286.6549479845,4450501.802896539,392.06668661216,782.3628822564,6680788.457844523,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2124398.461335146,1721502.780933333,4873369.928071293,4.205355580293352,True
2026-01-04 10:26:42.790495,763503.4669537687,929669.7405122648,509.0023113025125,619.7798270081765,1693173.2074660335,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2081275.9359482345,1628766.891980509,-4987615.2503784895,0.03170117361583067,False
2026-01-04 10:26:43.790495,745870.7568681254,854217.0942267267,497.24717124541695,569.4780628178178,1600087.851094852,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2101244.4090063996,1620696.0465851396,-93085.35637118155,-0.04619298788474763,False
2026-01-04 10:26:44.790495,763006.1147185935,622592.3396937634,508.670743145729,415.0615597958423,1385598.454412357,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2090924.0304543234,1625351.2337845068,-214489.39668249502,-0.22567848760960407,False
2026-01-04 10:26:45.790495,410832.804044827,915191.4604348566,273.8885360298847,610.1276402899044,1326024.2644796837,0,0,10,6,26,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2096237.98758407,1622463.8537916152,-59574.18993267324,-0.275530384328758,False
